iso3,country_name,cost_of_living_index,cpi_and_rent_index,rent_index,groceries_index,restaurant_price_index,purchasing_power_incl_rent_index,quality_of_life_index,safety_index,health_care_index,pollution_index,property_price_to_income_ratio,year_last_update
HRV,Croatia,53.48202280750082,37.23111972108398,17.774981719778758,50.76004752042097,55.93787860950463,94.91193524899994,179.4469697559329,75.6564747929764,65.05243490653251,32.102958592938286,12.207128741126601,
CUB,Cuba,41.98831786713787,27.927247355601697,11.092851946081623,42.43360830161066,25.351275566116747,2.6172036478317184,,64.62622162616282,59.30470787926928,65.56139613120271,50.74598593821563,
CUW,Curacao,,,21.291042072882668,,61.968030654858154,,,45.55831357289103,45.06172839506173,55.459770114942536,2.0,
CYP,Cyprus,59.955542948893466,44.71833913085249,26.475836627369404,56.47618813772528,61.43397839534004,94.21064216134377,160.3956910926333,66.4831757312378,56.394455641202086,55.76946907181415,8.1245762943114,
CZE,Czech Republic,53.75846591597454,38.25123759418779,19.685452502612552,52.11111732962138,43.45975927389603,99.24465052438902,176.57566115130092,73.27130274515454,75.48246583916847,34.49152880047176,13.123442096919886,
COD,Democratic Republic of the Congo,50.753029463385325,42.20378541828628,31.968337513405597,49.24098120384397,66.1293547489048,29.656730320393276,46.37494508848658,32.480464250362644,25.0,83.2183908045977,20.657612275419822,
DNK,Denmark,80.36710913938893,56.21462280416737,27.298438594965933,75.33944592052451,94.58939983827818,160.82464394527537,215.68238508627962,73.75000756922387,76.30633838804134,22.916867424461007,5.9149816689040335,
DJI,Djibouti,72.44366880407266,48.43312296237819,19.686874775522806,71.57865375146677,58.76286127016276,122.07392542050299,,46.35695187165775,,64.59770114942529,16.580802369001624,
DMA,Dominica,55.43257888048888,35.90031538757959,12.515620274017728,69.60567585247438,41.66436051231338,32.96765063991711,,46.41943734015346,36.57407407407407,20.689655172413794,0.622678795104719,
DOM,Dominican Republic,38.59697114500536,27.810613455293197,14.896816441889671,40.00864565134851,35.669053393355604,44.332424081375244,99.65051126329764,40.17412539208527,58.0869534624575,72.26624635550806,13.937616258797654,
ECU,Ecuador,31.366018637940314,20.91514006670629,8.402990148910805,34.49499221002214,27.81487150534564,51.952733571736,130.0344108682761,38.10706097804394,77.5846746019433,58.715517577774115,11.362577073622088,
EGY,Egypt,22.039610846625777,13.800981216040029,3.937411531208356,23.040546294367807,20.44738223479168,23.28107559069903,81.87608975434947,53.62405737381709,47.86920417901947,82.48623767521134,20.85616758167726,
SLV,El Salvador,40.9527022869598,30.000484420939216,16.888113921372057,44.59503210586778,35.347570769042235,33.081981019127056,88.48026945127182,43.06208442894221,51.87492275367692,73.8499494053544,22.474133517110847,
GNQ,Equatorial Guinea,55.650143909320015,33.52813512920495,7.042908221922617,62.84396636006563,52.11902790591102,50.585387950204264,,53.07465878508266,42.592592592592595,59.85221674876847,4.593878945299999,
ERI,Eritrea,,,7.879099456491537,,,,,73.48713011344692,55.55555555555556,15.517241379310345,25.00287205435297,
EST,Estonia,61.073234676165214,40.59965928303059,16.087993309100803,55.98163290117266,67.96690637529784,97.2334397073603,194.0923034317106,76.7895992407929,75.3123881765552,16.133367981243822,9.839881695200411,
SWZ,Eswatini,29.499682514857884,18.849888345387996,6.09958985767556,29.340892459198407,25.224743161105046,70.13386633236215,173.27542361448246,57.69710681475387,61.111111111111114,30.09404388714734,2.1615447154471545,
ETH,Ethiopia,41.17646634859311,30.42801959495478,17.55961085321155,43.76699943556339,23.441093041048653,13.809660026454837,59.56402358225314,49.73479679301352,52.493311036789294,73.83466168063497,37.96623026042157,
FLK,Falkland Islands,,,37.248651640598304,,,,,55.63725490196079,,3.4482758620689653,,
FRO,Faroe Islands,,,26.486195885940006,86.91857656958402,110.5236518159217,,,83.7785237851135,66.94444444444444,4.926108374384237,8.985844161166078,
FJI,Fiji,35.74181731358333,27.620882080834253,17.898220161811878,45.9216877290326,32.52119333030583,64.33468173761081,126.75546795199313,42.922510347268,48.44866796621182,53.43719854155426,6.051451814392199,
FIN,Finland,70.46425596048078,48.17931051336777,21.499010245440374,70.82692610589008,76.11660161901197,135.00517498172354,205.5864347315426,73.680582404211,77.53755784273602,11.757701481203316,7.196317427049334,
FRA,France,69.3360244751635,47.728207808541285,21.85858931797899,76.18074307395848,67.85351660546695,126.75186998494485,171.933916452171,44.195279372685974,77.00205132657858,43.45004094342923,8.438653196672863,
GUF,French Guiana,87.79607262050664,59.93387816705582,26.57630428806066,115.13173854174701,73.21236424700518,82.5001807218128,,36.8684012066365,55.55555555555556,37.301061007957564,7.333333333333333,
